ID,Name,RuntimeHost,FinalInterpreter,FullTool,VSCodeRuntime,VarCount,Parity,TestEvidence,ReviewConfidence,CriticalNote
172,MAT_IDENTITY,VAR,VAR,VAR,VAR,3/4,PARTIAL,tests_matrix/test_matrix04_identity_trace_det2.uxm,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
173,MAT_TRACE,VAR,VAR,VAR,VAR,3/4,PARTIAL,tests_matrix/test_matrix04_identity_trace_det2.uxm,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
174,MAT_SHAPE,VAR,VAR,VAR,VAR,3/4,PARTIAL,,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
175,MAT_DET2,VAR,VAR,VAR,VAR,3/4,PARTIAL,tests_matrix/test_matrix04_identity_trace_det2.uxm; tests_matrix/_tmp_det_debug.uxm,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
176,MAT_PRINT_RAW,VAR,VAR,VAR,VAR,3/4,PARTIAL,,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
200,FP_INIT16,VAR,VAR,VAR,VAR,3/4,PARTIAL,tests_fp/test_fp01_add_int.uxm; tests_fp/test_fp02_sub_int.uxm; tests_fp/test_fp03_mul_int.uxm; tests_fp/test_fp04_div_int.uxm; tests_fp/test_fp05_from_string.uxm,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
201,FP_INIT32,VAR,VAR,VAR,VAR,3/4,PARTIAL,,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
202,FP_ZERO,VAR,VAR,VAR,VAR,3/4,PARTIAL,,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
203,FP_COPY,VAR,VAR,VAR,VAR,3/4,PARTIAL,,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
204,FP_NORMALIZE,VAR,VAR,VAR,VAR,3/4,PARTIAL,,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
205,FP_TO_INT_RESULT,VAR,VAR,VAR,VAR,3/4,PARTIAL,tests_fp/test_fp07_int_zero_sign_abs.uxm,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
206,FP_IS_ZERO,VAR,VAR,VAR,VAR,3/4,PARTIAL,tests_fp/test_fp07_int_zero_sign_abs.uxm,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
207,FP_SIGNUM,VAR,VAR,VAR,VAR,3/4,PARTIAL,tests_fp/test_fp07_int_zero_sign_abs.uxm,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
208,FP_ABS_INT_RESULT,VAR,VAR,VAR,VAR,3/4,PARTIAL,tests_fp/test_fp07_int_zero_sign_abs.uxm,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
209,FP_DEBUG_PRINT,VAR,VAR,VAR,VAR,3/4,PARTIAL,,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
210,FP_ADD,VAR,VAR,VAR,VAR,3/4,PARTIAL,tests_fp/test_fp01_add_int.uxm; tests_fp/test_fp06_add_dec_string.uxm,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
211,FP_SUB,VAR,VAR,VAR,VAR,3/4,PARTIAL,tests_fp/test_fp02_sub_int.uxm,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
212,FP_MUL,VAR,VAR,VAR,VAR,3/4,PARTIAL,tests_fp/test_fp03_mul_int.uxm,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
213,FP_DIV,VAR,VAR,VAR,VAR,3/4,PARTIAL,tests_fp/test_fp04_div_int.uxm,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
214,FP_COMPARE,VAR,VAR,VAR,VAR,3/4,PARTIAL,,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
215,FP_ABS,VAR,VAR,VAR,VAR,3/4,PARTIAL,,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
216,FP_NEG,VAR,VAR,VAR,VAR,3/4,PARTIAL,,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
217,FP_ROUND16,VAR,VAR,VAR,VAR,3/4,PARTIAL,,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
218,FP_ROUND32,VAR,VAR,VAR,VAR,3/4,PARTIAL,,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
219,FP_TRUNC,VAR,VAR,VAR,VAR,3/4,PARTIAL,,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
220,FP_FROM_INT,VAR,VAR,VAR,VAR,3/4,PARTIAL,tests_fp/test_fp01_add_int.uxm; tests_fp/test_fp02_sub_int.uxm; tests_fp/test_fp03_mul_int.uxm; tests_fp/test_fp04_div_int.uxm,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
221,FP_FROM_DEC_STRING,VAR,VAR,VAR,VAR,3/4,PARTIAL,tests_fp/test_fp05_from_string.uxm; tests_fp/test_fp06_add_dec_string.uxm,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
222,FP_TO_DEC_STRING,VAR,VAR,VAR,VAR,3/4,PARTIAL,,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
223,FP_PRINT_DEC,VAR,VAR,VAR,VAR,3/4,PARTIAL,tests_fp/test_fp01_add_int.uxm; tests_fp/test_fp02_sub_int.uxm; tests_fp/test_fp03_mul_int.uxm; tests_fp/test_fp04_div_int.uxm; tests_fp/test_fp05_from_string.uxm,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
224,FP_SCALE10,VAR,VAR,VAR,VAR,3/4,PARTIAL,,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
240,POLY_DERIV,VAR,VAR,VAR,VAR,3/4,PARTIAL,math_extensions/tests_math/test_math01_poly_deriv_arge.uxm,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
241,POLY_INTEGRAL,VAR,VAR,VAR,VAR,3/4,PARTIAL,math_extensions/tests_math/test_math02_poly_integral_arge.uxm,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
242,POLY_EVAL,VAR,VAR,VAR,VAR,3/4,PARTIAL,math_extensions/tests_math/test_math03_poly_eval_arge.uxm,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
243,POLY_PRINT,VAR,VAR,VAR,VAR,3/4,PARTIAL,math_extensions/tests_math/test_math01_poly_deriv_arge.uxm; math_extensions/tests_math/test_math02_poly_integral_arge.uxm,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
244,POLY_CLEAR,VAR,VAR,VAR,VAR,3/4,PARTIAL,,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
245,Reserved/User/Planned,YOK,VAR,YOK,VAR,2/4,PARTIAL,,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
246,Reserved/User/Planned,YOK,VAR,YOK,VAR,2/4,PARTIAL,,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
247,Reserved/User/Planned,YOK,VAR,YOK,VAR,2/4,PARTIAL,,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
248,Reserved/User/Planned,YOK,VAR,YOK,VAR,2/4,PARTIAL,,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
249,Reserved/User/Planned,YOK,VAR,YOK,VAR,2/4,PARTIAL,,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
250,EXPR_EVAL,VAR,VAR,YOK,VAR,3/4,PARTIAL,math_extensions/tests_math/test_math04_expr_rpn_eval.uxm,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
251,NUM_DERIV,VAR,VAR,YOK,VAR,3/4,PARTIAL,math_extensions/tests_math/test_math05_num_deriv.uxm,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
252,NUM_INTEGRAL_TRAP,VAR,VAR,YOK,VAR,3/4,PARTIAL,math_extensions/tests_math/test_math06_integral_trap.uxm,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
253,NUM_INTEGRAL_SIMPSON,VAR,VAR,YOK,VAR,3/4,PARTIAL,math_extensions/tests_math/test_math07_integral_simpson.uxm,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
254,EXPR_PRINT_RPN,VAR,VAR,YOK,VAR,3/4,PARTIAL,,DUSUK_OR_KISMEN,Extension servisleri kodda var; ancak full tool/final temiz derlenebilirlik ve 4 hat conformance kaniti yok.
